   在 XYAuto.ITSC.Chitunion2017.HBaseDataSync.Util.CleanImg(String url) 位置 D:\GitRoot（C）\A5信息系统研发\销售业务管理平台\赤兔联盟系统\XYAuto.ITSC.Chitunion2017.HBaseDataSync\Util.cs:行号 770
   在 XYAuto.ITSC.Chitunion2017.HBaseDataSync.BusinessLL.ArticleInfo.SyncDataByWeixin(Int32 topNum) 位置 D:\GitRoot（C）\A5信息系统研发\销售业务管理平台\赤兔联盟系统\XYAuto.ITSC.Chitunion2017.HBaseDataSync\BusinessLL\ArticleInfo.cs:行号 85
2018-02-06 18:49:48,428 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:49:48,428 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:05:23.0496092
2018-02-06 18:49:48,428 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:49:50,430 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:49:50,432 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:50:22,210 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2018-02-06 18:50:22,273 [10] INFO  BaseLog [(null)] - 同步文章数据-----开始
2018-02-06 18:50:22,273 [10] INFO  BaseLog [(null)] - 当前线程[10],同步微信文章数据 任务开始
2018-02-06 18:50:22,442 [10] INFO  BaseLog [(null)] - 当前线程[10],同步微信文章数据-----开始
2018-02-06 18:53:45,830 [10] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:53:46,551 [10] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=721毫秒，结果返回条数为：3条记录
2018-02-06 18:53:48,628 [10] INFO  BaseLog [(null)] - 当前线程[10],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2018-02-06 18:53:48,672 [10] INFO  BaseLog [(null)] - 当前线程[10],微信文章数据,SN=223147，有特定词语，已剔除
2018-02-06 18:53:48,673 [10] INFO  BaseLog [(null)] - 更新这些微信Weixin_ArticleInfo表中的主键ID[223147],的状态为：2
2018-02-06 18:53:48,683 [10] INFO  BaseLog [(null)] - 当前线程[10],微信文章数据,目前循环到第2个，总共需要3条数据要清洗
2018-02-06 18:53:48,702 [10] INFO  BaseLog [(null)] - 当前线程[10],微信文章数据,SN=223148，有特定词语，已剔除
2018-02-06 18:53:48,703 [10] INFO  BaseLog [(null)] - 更新这些微信Weixin_ArticleInfo表中的主键ID[223148],的状态为：2
2018-02-06 18:53:48,715 [10] INFO  BaseLog [(null)] - 当前线程[10],微信文章数据,目前循环到第3个，总共需要3条数据要清洗
2018-02-06 18:53:48,728 [10] INFO  BaseLog [(null)] - 当前线程[10],微信文章数据,SN=223149，有特定词语，已剔除
2018-02-06 18:53:48,728 [10] INFO  BaseLog [(null)] - 更新这些微信Weixin_ArticleInfo表中的主键ID[223149],的状态为：2
2018-02-06 18:53:48,736 [10] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:53:48,736 [10] INFO  BaseLog [(null)] - 当前线程[10],同步微信文章数据 任务完成 耗时：00:03:26.4575870
2018-02-06 18:53:48,736 [10] INFO  BaseLog [(null)] - 当前线程[10],同步微信文章数据，当前线程等待2秒
2018-02-06 18:53:50,736 [10] INFO  BaseLog [(null)] - 当前线程[10],同步微信文章数据 任务开始
2018-02-06 18:53:50,737 [10] INFO  BaseLog [(null)] - 当前线程[10],同步微信文章数据-----开始
2018-02-06 18:53:54,015 [10] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:53:54,624 [10] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=609毫秒，结果返回条数为：3条记录
2018-02-06 18:53:54,628 [10] INFO  BaseLog [(null)] - 当前线程[10],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2018-02-06 18:53:54,660 [10] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/vdBnaTRWOjmZY9Jp8icKSHcANHb5Hib0icjCXzUNksNDKKtfwllYaZocia1Sfmt5UFOr8kspF3C9PMWl2TvH1tBb5Q/0?wx_fmt=jpeg]---------开始
2018-02-06 18:53:54,876 [10] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/vdBnaTRWOjmZY9Jp8icKSHcANHb5Hib0icjCXzUNksNDKKtfwllYaZocia1Sfmt5UFOr8kspF3C9PMWl2TvH1tBb5Q/0?wx_fmt=jpeg]---------结束，转换后为[http://192.168.3.76/group4/M00/00/64/pIYBAFp5ikuARNG9AAB-IyxxG38392.jpg]
2018-02-06 18:53:55,108 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有2个视频iframe标签
2018-02-06 18:53:55,114 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有2个[//iframe[contains(@data-src,'v.qq.com')]|//iframe[contains(@src,'v.qq.com')]]标签
2018-02-06 18:53:55,115 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有2个[//iframe[contains(@data-src,'v.qq.com')]|//iframe[contains(@src,'v.qq.com')]]标签，已全部剔除
2018-02-06 18:53:55,117 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有21个img标签
2018-02-06 18:53:55,119 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有21个img标签
