2016-04-28 16:24:54,334 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click Begin...
2016-04-28 16:24:55,633 [1] INFO  Holly- [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-04-28 16:24:57,457 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-04-28 16:25:05,753 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:13001,GroupName is:商城运营支持部（IM）,OutNum is:89
2016-04-28 16:25:05,753 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() End...
2016-04-28 16:25:07,067 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1099 3
2016-04-28 16:25:07,067 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 3
2016-04-28 16:25:07,067 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1096 3
2016-04-28 16:25:07,107 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==签入->True
2016-04-28 16:25:07,251 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()更新退出时间....norecord
2016-04-28 16:25:07,295 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:97
2016-04-28 16:25:07,295 [1] INFO  Holly- [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-04-28 16:25:08,323 [1] INFO  Holly- [(null)] - [InitMainForm] 开始验证监控权限
2016-04-28 16:25:08,410 [1] INFO  Holly- [(null)] - [InitMainForm] 有 监控权限
2016-04-28 16:24:58,010 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
2016-04-28 16:24:58,661 [1] INFO  Holly- [(null)] - [事件][OnSignInSuccess] 签入成功事件
2016-04-28 16:24:58,685 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()更新退出时间....success [LoginOnOid=97]
2016-04-28 16:24:58,697 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:98
2016-04-28 16:24:58,700 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：2；CurStatusName：置忙；)厂家消息(状态改变：准备就绪状态-->置忙)程序状态(PS04_置忙)
2016-04-28 16:24:58,702 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS01_就绪(0) -> PS04_置忙(2)
2016-04-28 16:24:58,735 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==置闲->True
2016-04-28 16:24:58,996 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==休息(BS0_自动)->True
2016-04-28 16:24:58,997 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS04_置忙(BS0_自动)
2016-04-28 16:24:59,944 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：置忙-->空闲)程序状态(PS03_置闲)
2016-04-28 16:24:59,944 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS04_置忙(2) -> PS03_置闲(1)
2016-04-28 16:24:59,944 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-04-28 16:24:59,948 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(状态改变：空闲-->休息)程序状态(PS05_休息)
2016-04-28 16:24:59,949 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS03_置闲(1) -> PS05_休息(16)
2016-04-28 16:24:59,949 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS05_休息
2016-04-28 16:25:01,555 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:99
2016-04-28 16:25:01,562 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:25:01,738 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(休息开始。)程序状态(PS05_休息)
2016-04-28 16:25:01,799 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:99
2016-04-28 16:25:01,818 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:100
2016-04-28 16:25:01,819 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:25:01,820 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(示闲成功。)程序状态(PS05_休息)
2016-04-28 16:25:01,843 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:100
2016-04-28 16:25:01,861 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:101
2016-04-28 16:25:01,861 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:25:01,862 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(签入成功。)程序状态(PS05_休息)
2016-04-28 16:25:10,925 [1] INFO  Holly- [(null)] - [Main] 点击按钮==置闲
2016-04-28 16:25:10,958 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==结束休息->True
2016-04-28 16:25:11,183 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：休息-->空闲)程序状态(PS03_置闲)
2016-04-28 16:25:11,184 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS05_休息(16) -> PS03_置闲(1)
2016-04-28 16:25:11,184 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-04-28 16:25:11,212 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:101
2016-04-28 16:25:11,268 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:102
2016-04-28 16:25:11,268 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:25:11,269 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(休息结束。)程序状态(PS03_置闲)
2016-04-28 16:25:12,624 [1] INFO  Holly- [(null)] - [Main] 点击按钮==置忙==3
2016-04-28 16:25:12,657 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==休息(BS3_业务处理)->True
2016-04-28 16:25:12,885 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(状态改变：空闲-->休息)程序状态(PS05_休息)
2016-04-28 16:25:12,885 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS03_置闲(1) -> PS05_休息(16)
2016-04-28 16:25:12,885 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS05_休息
2016-04-28 16:25:12,916 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:102
2016-04-28 16:25:12,924 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:103
2016-04-28 16:25:12,924 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:25:12,925 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(休息开始。)程序状态(PS05_休息)
2016-04-28 16:25:14,222 [1] INFO  Holly- [(null)] - [Main] 点击按钮==置闲
2016-04-28 16:25:14,255 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==结束休息->True
2016-04-28 16:25:14,481 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：休息-->空闲)程序状态(PS03_置闲)
2016-04-28 16:25:14,482 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS05_休息(16) -> PS03_置闲(1)
2016-04-28 16:25:14,482 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-04-28 16:25:14,509 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:103
2016-04-28 16:25:14,571 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:104
2016-04-28 16:25:14,572 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:25:14,572 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(休息结束。)程序状态(PS03_置闲)
2016-04-28 16:25:15,708 [1] INFO  Holly- [(null)] - [登录登出模块] ExitLogin() Begin...
2016-04-28 16:25:15,852 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 LoginOnOid....IS:98
2016-04-28 16:25:15,852 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 GetCurrentTime()....IS:2016-04-28 16:25:15
2016-04-28 16:25:15,854 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...退出成功....
2016-04-28 16:25:15,886 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==签出->True
2016-04-28 16:25:15,888 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:104
2016-04-28 16:25:17,184 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==卸载->True
2016-04-28 16:25:17,184 [1] INFO  Holly- [(null)] - [登录登出模块] ExitLogin() End.
2016-04-28 16:27:18,066 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click Begin...
2016-04-28 16:27:18,129 [1] INFO  Holly- [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-04-28 16:27:18,298 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-04-28 16:27:18,298 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-04-28 16:27:18,298 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click End
2016-04-28 16:27:18,363 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=12058625)程序状态(PS01_就绪)
2016-04-28 16:27:18,387 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-04-28 16:27:18,445 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=655361)程序状态(PS01_就绪)
2016-04-28 16:27:18,448 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=983041)程序状态(PS01_就绪)
2016-04-28 16:27:18,451 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=262145)程序状态(PS01_就绪)
2016-04-28 16:27:18,453 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=262146)程序状态(PS01_就绪)
2016-04-28 16:27:18,453 [1] INFO  Holly- [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-04-28 16:27:18,463 [1] INFO  Holly- [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-04-28 16:27:18,464 [1] INFO  Holly- [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-04-28 16:27:18,509 [1] INFO  Holly- [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-04-28 16:27:18,923 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-04-28 16:27:23,247 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:13001,GroupName is:商城运营支持部（IM）,OutNum is:89
2016-04-28 16:27:23,248 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() End...
2016-04-28 16:27:23,456 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1099 3
2016-04-28 16:27:23,456 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 3
2016-04-28 16:27:23,456 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1096 3
2016-04-28 16:27:23,496 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==签入->True
2016-04-28 16:27:23,552 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()更新退出时间....initmsg
2016-04-28 16:27:23,569 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:106
2016-04-28 16:27:23,569 [1] INFO  Holly- [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-04-28 16:27:24,017 [1] INFO  Holly- [(null)] - [InitMainForm] 开始验证监控权限
2016-04-28 16:27:24,090 [1] INFO  Holly- [(null)] - [InitMainForm] 有 监控权限
2016-04-28 16:27:31,011 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
2016-04-28 16:27:31,051 [1] INFO  Holly- [(null)] - [事件][OnSignInSuccess] 签入成功事件
2016-04-28 16:27:31,099 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()更新退出时间....success [LoginOnOid=106]
2016-04-28 16:27:31,111 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:107
2016-04-28 16:27:31,114 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：2；CurStatusName：置忙；)厂家消息(状态改变：准备就绪状态-->置忙)程序状态(PS04_置忙)
2016-04-28 16:27:31,116 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS01_就绪(0) -> PS04_置忙(2)
2016-04-28 16:27:31,150 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==置闲->True
2016-04-28 16:27:31,404 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==休息(BS0_自动)->True
2016-04-28 16:27:31,406 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS04_置忙(BS0_自动)
2016-04-28 16:27:31,422 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：置忙-->空闲)程序状态(PS03_置闲)
2016-04-28 16:27:31,423 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS04_置忙(2) -> PS03_置闲(1)
2016-04-28 16:27:31,423 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-04-28 16:27:31,427 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(状态改变：空闲-->休息)程序状态(PS05_休息)
2016-04-28 16:27:31,428 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS03_置闲(1) -> PS05_休息(16)
2016-04-28 16:27:31,428 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS05_休息
2016-04-28 16:27:31,554 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:108
2016-04-28 16:27:31,560 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:27:31,565 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(休息开始。)程序状态(PS05_休息)
2016-04-28 16:27:31,582 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:108
2016-04-28 16:27:31,594 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:109
2016-04-28 16:27:31,594 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:27:31,595 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(示闲成功。)程序状态(PS05_休息)
2016-04-28 16:27:31,602 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:109
2016-04-28 16:27:31,611 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:110
2016-04-28 16:27:31,611 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:27:31,612 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(签入成功。)程序状态(PS05_休息)
2016-04-28 16:28:00,428 [1] INFO  Holly- [(null)] - [Main] 点击按钮==置闲
2016-04-28 16:28:00,462 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==结束休息->True
2016-04-28 16:28:00,497 [1] INFO  Holly- [(null)] - [Main]timer_LoginTime_Tick LoginOnOid=107
2016-04-28 16:28:00,690 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：休息-->空闲)程序状态(PS03_置闲)
2016-04-28 16:28:00,690 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS05_休息(16) -> PS03_置闲(1)
2016-04-28 16:28:00,690 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-04-28 16:28:00,719 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:110
2016-04-28 16:28:00,730 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:111
2016-04-28 16:28:00,731 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:28:00,732 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(休息结束。)程序状态(PS03_置闲)
2016-04-28 16:28:02,621 [1] INFO  Holly- [(null)] - [Main] 点击按钮==置忙==3
2016-04-28 16:28:02,653 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==休息(BS3_业务处理)->True
2016-04-28 16:28:02,881 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(状态改变：空闲-->休息)程序状态(PS05_休息)
2016-04-28 16:28:02,881 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS03_置闲(1) -> PS05_休息(16)
2016-04-28 16:28:02,881 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS05_休息
2016-04-28 16:28:02,908 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:111
2016-04-28 16:28:02,926 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:112
2016-04-28 16:28:02,927 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:28:02,927 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(休息开始。)程序状态(PS05_休息)
2016-04-28 16:28:14,780 [1] INFO  Holly- [(null)] - [Main] 点击按钮==置闲
2016-04-28 16:28:14,812 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==结束休息->True
2016-04-28 16:28:15,050 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：休息-->空闲)程序状态(PS03_置闲)
2016-04-28 16:28:15,051 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS05_休息(16) -> PS03_置闲(1)
2016-04-28 16:28:15,051 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-04-28 16:28:15,080 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:112
2016-04-28 16:28:15,100 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:113
2016-04-28 16:28:15,101 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-28 16:28:15,101 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(休息结束。)程序状态(PS03_置闲)
2016-04-28 16:28:17,660 [1] INFO  Holly- [(null)] - [登录登出模块] ExitLogin() Begin...
2016-04-28 16:28:17,684 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 LoginOnOid....IS:107
2016-04-28 16:28:17,684 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 GetCurrentTime()....IS:2016-04-28 16:28:17
2016-04-28 16:28:17,686 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...退出成功....
2016-04-28 16:28:17,720 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==签出->True
2016-04-28 16:28:17,722 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:113
2016-04-28 16:28:19,013 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==卸载->True
2016-04-28 16:28:19,014 [1] INFO  Holly- [(null)] - [登录登出模块] ExitLogin() End.
2016-04-28 16:35:20,988 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click Begin...
2016-04-28 16:35:21,049 [1] INFO  Holly- [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-04-28 16:35:21,181 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-04-28 16:35:21,181 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-04-28 16:35:21,181 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click End
2016-04-28 16:35:21,242 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=12189697)程序状态(PS01_就绪)
2016-04-28 16:35:21,265 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-04-28 16:35:21,295 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=983041)程序状态(PS01_就绪)
2016-04-28 16:35:21,327 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=655361)程序状态(PS01_就绪)
2016-04-28 16:35:21,329 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=262145)程序状态(PS01_就绪)
2016-04-28 16:35:21,331 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=262146)程序状态(PS01_就绪)
2016-04-28 16:35:21,331 [1] INFO  Holly- [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
