2016-04-27 18:23:16,133 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：2；CurStatusName：置忙；)厂家消息(状态改变：准备就绪状态-->置忙)程序状态(PS04_置忙)
2016-04-27 18:23:16,135 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS01_就绪(0) -> PS04_置忙(2)
2016-04-27 18:23:16,167 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==置闲->True
2016-04-27 18:23:16,427 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==休息(BS0_自动)->True
2016-04-27 18:23:16,428 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS04_置忙(BS0_自动)
2016-04-27 18:23:16,757 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：置忙-->空闲)程序状态(PS03_置闲)
2016-04-27 18:23:16,757 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS04_置忙(2) -> PS03_置闲(1)
2016-04-27 18:23:16,757 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-04-27 18:23:16,765 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(状态改变：空闲-->休息)程序状态(PS05_休息)
2016-04-27 18:23:16,765 [1] INFO  Holly- [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS03_置闲(1) -> PS05_休息(16)
2016-04-27 18:23:16,765 [1] INFO  Holly- [(null)] - [Main][SetMainStatus]设置状态：PS05_休息
2016-04-27 18:23:19,109 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:15
2016-04-27 18:23:19,115 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-27 18:23:19,120 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(休息开始。)程序状态(PS05_休息)
2016-04-27 18:23:19,164 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:15
2016-04-27 18:23:19,179 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:16
2016-04-27 18:23:19,180 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-27 18:23:19,181 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(示闲成功。)程序状态(PS05_休息)
2016-04-27 18:23:19,249 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:16
2016-04-27 18:23:19,700 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:17
2016-04-27 18:23:19,700 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-27 18:23:19,701 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(签入成功。)程序状态(PS05_休息)
2016-04-27 18:23:20,575 [1] INFO  Holly- [(null)] - [MainJs] [MethodScript] urlPath:/browsercontrol/newpage?url=http%3a%2f%2fmanage.market.bitauto.com%2fyichehuiccadmin%3fsign%3dE48A29D7292450D974CC26C205C7C260%26userid%3d10658
2016-04-27 18:23:20,581 [1] INFO  Holly- [(null)] - [MainUI] [NewPageForReq] address is:http://manage.market.bitauto.com/yichehuiccadmin?sign=E48A29D7292450D974CC26C205C7C260&userid=10658
2016-04-27 18:23:20,592 [1] INFO  Holly- [(null)] - [MainUI] [ShowTabPagesLog] 全部页面 客户核实=f85f262c-5650-487b-a52b-6b780f4050fc(); 新增页=22fcc1b6-5770-414b-84f6-563957ddf3aa(f85f262c-5650-487b-a52b-6b780f4050fc); 
2016-04-27 18:23:20,622 [1] INFO  Holly- [(null)] - [MainJs] [MethodScript] msg:ok
2016-04-27 18:23:21,129 [1] INFO  Holly- [(null)] - [MainJs] [MethodScript] urlPath:/Agent/UserID
2016-04-27 18:23:21,130 [1] INFO  Holly- [(null)] - [MainJs] [MethodScript] msg:10658
2016-04-27 18:23:26,249 [1] INFO  Holly- [(null)] - [MainUI]IsCallingTel判断是否有电话正在通话SelectedTab.Name:22fcc1b6-5770-414b-84f6-563957ddf3aa
2016-04-27 18:23:26,250 [1] INFO  Holly- [(null)] - [MainUI] [GetTabControlTabPagesCount] 可用页面数量=2
2016-04-27 18:23:34,284 [1] INFO  Holly- [(null)] - [MainJs] [MethodScript] urlPath:/browsercontrol/newpage?url=http%3a%2f%2fmanage.market.bitauto.com%2fyichehuiccadmin%3fsign%3dE48A29D7292450D974CC26C205C7C260%26userid%3d10658
2016-04-27 18:23:34,284 [1] INFO  Holly- [(null)] - [MainUI] [NewPageForReq] address is:http://manage.market.bitauto.com/yichehuiccadmin?sign=E48A29D7292450D974CC26C205C7C260&userid=10658
2016-04-27 18:23:34,292 [1] INFO  Holly- [(null)] - [MainUI] [ShowTabPagesLog] 全部页面 客户核实=f85f262c-5650-487b-a52b-6b780f4050fc(); 新增页=a6fa1a4f-e33b-4061-a5e3-2253109fe566(f85f262c-5650-487b-a52b-6b780f4050fc); 
2016-04-27 18:23:34,319 [1] INFO  Holly- [(null)] - [MainJs] [MethodScript] msg:ok
2016-04-27 18:23:34,778 [1] INFO  Holly- [(null)] - [MainJs] [MethodScript] urlPath:/Agent/UserID
2016-04-27 18:23:34,778 [1] INFO  Holly- [(null)] - [MainJs] [MethodScript] msg:10658
2016-04-27 18:23:36,995 [1] INFO  Holly- [(null)] - [登录登出模块] ExitLogin() Begin...
2016-04-27 18:23:37,390 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 LoginOnOid....IS:14
2016-04-27 18:23:37,390 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 GetCurrentTime()....IS:2016-04-27 18:23:37
2016-04-27 18:23:37,392 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...退出成功....
2016-04-27 18:23:37,425 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==签出->True
2016-04-27 18:23:37,428 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:17
2016-04-27 18:23:38,713 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==卸载->True
2016-04-27 18:23:38,713 [1] INFO  Holly- [(null)] - [登录登出模块] ExitLogin() End.
